,FilingDate,TradeDate,Ticker,Company,Name,Role,TradeType,Share Price,NoShares,DollarAmount,PercentChange,DollarIncrease,
,16/06/2021 15:26,16/06/2021,FBNC,First Bancorp /nc/,Moore Richard H,CEO,P - Purchase,$42.74,2375,115646,2%,"+$101,514",
,16/06/2021 17:02,16/06/2021,RAMP,"Liveramp Holdings, Inc.",Howe Scott E,CEO,P - Purchase,$42.67,2000,716457,0%,"+$85,340",
,16/06/2021 18:46,16/06/2021,ITOS,"Iteos Therapeutics, Inc.",Gall Matthew,CFO,P - Purchase,$26.09,5000,5000,New,"+$130,447",
,17/06/2021 09:14,16/06/2021,SAGE,"Sage Therapeutics, Inc.",Greene Barry E,"Pres, CEO",P - Purchase,$56.32,8800,8800,New,"+$495,627",
,15/06/2021 18:19,15/06/2021,TRUL,Trulieve Cannabis Corp.,Rivers Kim A.,"Pres, CEO, 10%",P - Purchase,$35.94,29000,77920,59%,"+$1,042,150",
M,16/06/2021 17:09,15/06/2021,BH,Biglari Holdings Inc.,"Biglari, Sardar","COB, CEO, 10%",P - Purchase,$907.50,148,1419025,0%,"+$134,310",
D,16/06/2021 18:11,15/06/2021,JANX,"Janux Therapeutics, Inc.",Reardon Tighe,"Acting CFO, 10%",P - Purchase,$17.00,629411,4652427,16%,"+$10,699,987",
,16/06/2021 18:20,15/06/2021,XDSL,"Mphase Technologies, Inc.",Bhatnagar Anshu,CEO,P - Purchase,$0.42,360000,40676351,1%,"+$151,200",
,16/06/2021 20:38,15/06/2021,VERO,Venus Concept Inc.,Della Penna Domenic,CFO,P - Purchase,$2.41,40000,66663,150%,"+$96,218",
,15/06/2021 06:15,14/06/2021,OBTX,"Everything Blockchain, Inc.",Hawkins Michael W,CFO,P - Purchase,$4.75,20200,55200,58%,"+$95,950",
,15/06/2021 07:24,14/06/2021,OPK,"Opko Health, Inc.",Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,$3.62,200000,226167822,0%,"+$723,927",
,15/06/2021 13:58,14/06/2021,PTVE,Pactiv Evergreen Inc.,King Michael Jack,"Pres, CEO",P - Purchase,$15.41,10000,10000,New,"+$154,111",
,15/06/2021 14:20,14/06/2021,CSTR,"Capstar Financial Holdings, Inc.",Duncan Denis J.,CFO,P - Purchase,$21.13,9640,58817,20%,"+$203,693",
,15/06/2021 16:29,14/06/2021,LCI,Lannett Co Inc,Crew Timothy C,CEO,P - Purchase,$5.00,10000,411058,2%,"+$50,000",
,15/06/2021 18:18,14/06/2021,VERO,Venus Concept Inc.,Serafino Domenic,CEO,P - Purchase,$2.46,40000,814344,5%,"+$98,244",
,11/06/2021 09:39,11/06/2021,OBTX,"Everything Blockchain, Inc.",Hawkins Michael W,CFO,P - Purchase,$3.49,35000,35000,New,"+$122,150",
,11/06/2021 16:42,11/06/2021,REVG,"Rev Group, Inc.",Rushing Rodney M,CEO,P - Purchase,$15.87,19292,968287,2%,"+$306,164",
,11/06/2021 17:07,11/06/2021,REVG,"Rev Group, Inc.",Skonieczny Jr. Mark A,CFO,P - Purchase,$15.90,7000,198108,4%,"+$111,300",
,11/06/2021 19:43,11/06/2021,AMST,Amesite Inc.,Sastry Ann Marie,CEO,P - Purchase,$3.73,15000,6241667,0%,"+$55,950",
,10/06/2021 19:30,10/06/2021,EVFM,"Evofem Biosciences, Inc.",Pelletier Saundra L,CEO,P - Purchase,$1.03,50000,850837,6%,"+$51,500",
,10/06/2021 19:30,10/06/2021,EVFM,"Evofem Biosciences, Inc.",File Justin J.,CFO,P - Purchase,$1.03,24500,440388,6%,"+$25,235",
,09/06/2021 18:59,09/06/2021,SONN,"Sonnet Biotherapeutics Holdings, Inc.",Mohan Pankaj,"COB, Pres, CEO",P - Purchase,$1.55,32000,1292963,3%,"+$49,580",
,10/06/2021 10:36,09/06/2021,CNNE,"Cannae Holdings, Inc.",Coy Bryan D.,CFO,P - Purchase,$34.82,1000,3000,50%,"+$34,824",
,10/06/2021 11:47,09/06/2021,NICK,Nicholas Financial Inc,Marohn Douglas W,"Pres, CEO",P - Purchase,$11.37,2218,83593,3%,"+$25,219",
,10/06/2021 16:35,09/06/2021,CHRS,"Coherus Biosciences, Inc.",Stilwell McDavid,CFO,P - Purchase,$13.42,3700,35118,12%,"+$49,668",
M,09/06/2021 21:10,08/06/2021,AEI,Alset Ehome International Inc.,Chan Heng Fai Ambrose,"CEO, 10%",P - Purchase,$4.93,518348,518348,New,"+$2,554,305",
,08/06/2021 16:22,07/06/2021,EGHT,8X8 Inc /de/,Sipes David,CEO,P - Purchase,$23.47,43000,518728,9%,"+$1,009,210",
